example_id                                                               | status  | run_time        |
./spec/controllers/concerns/bulkrax/datatables_behavior_spec.rb[1:6:2]   | passed  | 0.18149 seconds |
./spec/controllers/concerns/bulkrax/datatables_behavior_spec.rb[1:7:1]   | passed  | 0.17858 seconds |
./spec/controllers/concerns/bulkrax/datatables_behavior_spec.rb[1:7:2]   | passed  | 0.17864 seconds |
./spec/controllers/concerns/bulkrax/datatables_behavior_spec.rb[1:7:3]   | passed  | 0.18152 seconds |
./spec/controllers/concerns/bulkrax/datatables_behavior_spec.rb[1:8:1]   | passed  | 0.19633 seconds |
./spec/controllers/concerns/bulkrax/datatables_behavior_spec.rb[1:8:2]   | passed  | 0.179 seconds   |
./spec/controllers/concerns/bulkrax/datatables_behavior_spec.rb[1:8:3]   | passed  | 0.21141 seconds |
./spec/controllers/concerns/bulkrax/datatables_behavior_spec.rb[1:8:4]   | passed  | 0.22065 seconds |
./spec/features/bagit_exporter_spec.rb[1:1]                              | passed  | 0.4158 seconds  |
./spec/features/bagit_importer_spec.rb[1:1]                              | passed  | 0.33123 seconds |
./spec/features/csv_importer_spec.rb[1:1]                                | passed  | 0.25214 seconds |
./spec/features/oai_dc_importer_spec.rb[1:1]                             | passed  | 0.25907 seconds |
./spec/helpers/bulkrax/exporters_helper_spec.rb[1:1]                     | pending | 0.00008 seconds |
./spec/helpers/bulkrax/importers_helper_spec.rb[1:1]                     | pending | 0 seconds       |
./spec/jobs/bulkrax/create_relationships_job_spec.rb[1:1:1:1:1]          | passed  | 0.56115 seconds |
./spec/jobs/bulkrax/create_relationships_job_spec.rb[1:1:1:1:2:1]        | passed  | 0.54609 seconds |
./spec/jobs/bulkrax/create_relationships_job_spec.rb[1:1:1:1:2:2]        | passed  | 0.54818 seconds |
./spec/jobs/bulkrax/create_relationships_job_spec.rb[1:1:1:1:3:1]        | passed  | 0.54426 seconds |
./spec/jobs/bulkrax/create_relationships_job_spec.rb[1:1:1:2:1]          | passed  | 0.55875 seconds |
./spec/jobs/bulkrax/create_relationships_job_spec.rb[1:1:1:2:2:1]        | passed  | 0.55291 seconds |
./spec/jobs/bulkrax/create_relationships_job_spec.rb[1:1:1:2:3:1]        | passed  | 0.54972 seconds |
./spec/jobs/bulkrax/create_relationships_job_spec.rb[1:1:1:2:4:1]        | passed  | 0.54646 seconds |
./spec/jobs/bulkrax/create_relationships_job_spec.rb[1:2:1:1]            | passed  | 0.55758 seconds |
./spec/jobs/bulkrax/create_relationships_job_spec.rb[1:2:1:2]            | passed  | 0.60378 seconds |
./spec/jobs/bulkrax/create_relationships_job_spec.rb[1:2:1:3]            | passed  | 0.61814 seconds |
./spec/jobs/bulkrax/create_relationships_job_spec.rb[1:2:2:1]            | passed  | 0.5564 seconds  |
./spec/jobs/bulkrax/create_relationships_job_spec.rb[1:2:2:2]            | passed  | 0.58855 seconds |
./spec/jobs/bulkrax/create_relationships_job_spec.rb[1:2:2:3]            | passed  | 0.54798 seconds |
./spec/jobs/bulkrax/create_relationships_job_spec.rb[1:2:3:1]            | passed  | 0.57273 seconds |
./spec/jobs/bulkrax/create_relationships_job_spec.rb[1:2:3:2]            | passed  | 0.55267 seconds |
./spec/jobs/bulkrax/create_relationships_job_spec.rb[1:2:3:3]            | passed  | 0.56711 seconds |
./spec/jobs/bulkrax/create_relationships_job_spec.rb[1:2:4:1]            | passed  | 0.58893 seconds |
./spec/jobs/bulkrax/create_relationships_job_spec.rb[1:2:4:2]            | passed  | 0.55542 seconds |
./spec/jobs/bulkrax/create_relationships_job_spec.rb[1:2:5:1]            | passed  | 0.55787 seconds |
./spec/jobs/bulkrax/create_relationships_job_spec.rb[1:2:6:1]            | passed  | 0.59197 seconds |
./spec/jobs/bulkrax/delete_work_job_spec.rb[1:1:1]                       | passed  | 0.52899 seconds |
./spec/jobs/bulkrax/delete_work_job_spec.rb[1:2:1]                       | passed  | 0.5128 seconds  |
./spec/jobs/bulkrax/delete_work_job_spec.rb[1:2:2]                       | passed  | 0.51319 seconds |
./spec/jobs/bulkrax/export_work_job_spec.rb[1:1:1]                       | failed  | 0.17183 seconds |
./spec/jobs/bulkrax/export_work_job_spec.rb[1:1:2]                       | failed  | 0.173 seconds   |
./spec/jobs/bulkrax/export_work_job_spec.rb[1:1:3]                       | passed  | 0.18253 seconds |
./spec/jobs/bulkrax/exporter_job_spec.rb[1:1:1:1]                        | passed  | 0.17031 seconds |
./spec/jobs/bulkrax/exporter_job_spec.rb[1:1:2:1]                        | passed  | 0.17065 seconds |
./spec/jobs/bulkrax/exporter_job_spec.rb[1:1:3:1]                        | passed  | 0.17107 seconds |
./spec/jobs/bulkrax/exporter_job_spec.rb[1:2:1]                          | passed  | 0.17425 seconds |
./spec/jobs/bulkrax/import_collection_job_spec.rb[1:1]                   | passed  | 0.18476 seconds |
./spec/jobs/bulkrax/import_collection_job_spec.rb[1:2:1:1]               | passed  | 0.22929 seconds |
./spec/jobs/bulkrax/import_collection_job_spec.rb[1:2:1:2]               | passed  | 0.22236 seconds |
./spec/jobs/bulkrax/import_collection_job_spec.rb[1:2:1:3]               | passed  | 0.20323 seconds |
./spec/jobs/bulkrax/import_collection_job_spec.rb[1:2:1:4]               | pending | 0 seconds       |
./spec/jobs/bulkrax/import_collection_job_spec.rb[1:2:2:1]               | passed  | 0.18347 seconds |
./spec/jobs/bulkrax/import_collection_job_spec.rb[1:2:2:2]               | passed  | 0.18462 seconds |
./spec/jobs/bulkrax/import_collection_job_spec.rb[1:2:2:3]               | passed  | 0.18408 seconds |
./spec/jobs/bulkrax/import_collection_job_spec.rb[1:2:2:4]               | pending | 0.00001 seconds |
./spec/jobs/bulkrax/import_file_set_job_spec.rb[1:1:1:1:1]               | failed  | 0.17117 seconds |
./spec/jobs/bulkrax/import_file_set_job_spec.rb[1:1:1:1:2:1]             | failed  | 0.17079 seconds |
